Time,w_f_0,F_0,N1_0
124.25,0,1.74153846153846,33099.6
124.3,0,1.74,33080
124.35,0,1.74,33080
124.4,0,1.74295238095238,33080
124.45,0,1.74771428571429,33079.8
124.5,0,1.75509803921569,33070
124.55,0,1.76490196078432,33070
124.6,0,1.76300970873786,33070.2
124.65,0,1.74844660194175,33080.4
124.7,0,1.74,33099.6
124.75,0,1.74,33080
124.8,0,1.74,33080
124.85,0,1.74,33080
124.9,0,1.74,33079.8
124.95,0,1.74,33070
125,0,1.73803921568627,33070
125.05,0,1.72823529411764,33069.6078431373
125.1,0,1.72384615384616,33050
125.15,0,1.74788461538462,33050
125.2,0,1.77,33069.6
125.25,0,1.77,33049.8
125.3,0,1.77,33040
125.35,0,1.75529411764706,33040
125.4,0,1.74058823529412,33040
125.45,0,1.74,33040.2
125.5,0,1.74,33049.8
125.55,0,1.74415841584159,33040.2
125.6,0,1.74910891089109,33050.4
125.65,0,1.75,33070
125.7,0,1.75,33070.6
125.75,0,1.75,33100
125.8,0,1.75,33100
125.85,0,1.75666666666667,33100
125.9,0,1.76647058823529,33100
125.95,0,1.77615384615385,33119.6
126,0,1.78576923076923,33099.6
126.05,0,1.77923076923077,33080.4
126.1,0,1.76,33099.6
126.15,0,1.75,33079.8
126.2,0,1.75,33070.5882352941
126.25,0,1.75,33100
126.3,0,1.75,33080
126.35,0,1.74485714285714,33079.8
126.4,0,1.73057142857143,33070
126.45,0,1.72257425742574,33070
126.5,0,1.73247524752475,33070.2
126.55,0,1.74115384615385,33080
126.6,0,1.74596153846154,33080
126.65,0,1.75,33079.8
126.7,0,1.75,33069.6
126.75,0,1.74883495145631,33050
126.8,0,1.73427184466019,33050
126.85,0,1.72,33049.8
126.9,0,1.72,33040
126.95,0,1.72,33040.2
127,0,1.72905660377358,33050
127.05,0,1.73849056603774,33050
127.1,0,1.74,33050
127.15,0,1.74,33049.8
127.2,0,1.74401960784314,33040
127.25,0,1.74892156862745,33040
127.3,0,1.75,33039.6
127.35,0,1.75,33020
127.4,0,1.75,33020.4
127.45,0,1.75,33040
127.5,0,1.7473,33040
127.55,0,1.7423,33040.2
127.6,0,1.7347572815534,33049.8
127.65,0,1.72504854368932,33040.2
127.7,0,1.72,33049.8
127.75,0,1.72,33040
127.8,0,1.72388349514563,33040
127.85,0,1.73359223300971,33039.6
127.9,0,1.74165048543689,33020
127.95,0,1.74650485436893,33020
128,0,1.75264150943396,33020
128.05,0,1.76207547169811,33020
128.1,0,1.76841584158416,33019.6
128.15,0,1.75851485148515,33000
128.2,0,1.74796116504854,32999.8
128.25,0,1.73339805825243,32989.6
128.3,0,1.72076923076923,32970
128.35,0,1.73038461538461,32969.8
128.4,0,1.74,32960
128.45,0,1.74,32960
128.5,0,1.74,32959.6
128.55,0,1.74466666666667,32940.4
128.6,0,1.74942857142857,32960
128.65,0,1.75,32959.6
128.7,0,1.75,32939.6
128.75,0,1.75,32920
128.8,0,1.75,32920
128.85,0,1.74628571428572,32920
128.9,0,1.74152380952381,32920
128.95,0,1.74,32919.8
129,0,1.74,32910
129.05,0,1.74,32910.2
129.1,0,1.74,32920
129.15,0,1.74,32920
129.2,0,1.74,32920.4
129.25,0,1.74,32939.6
129.3,0,1.74,32919.8
129.35,0,1.74194174757281,32910
129.4,0,1.74679611650485,32910
129.45,0,1.74838095238095,32910.2
129.5,0,1.74361904761905,32919.8
129.55,0,1.74117647058824,32910.6
129.6,0,1.74607843137255,32940
129.65,0,1.74902912621359,32939.6
129.7,0,1.74417475728155,32920
129.75,0,1.74,32920
129.8,0,1.74,32920
129.85,0,1.74,32920
129.9,0,1.74,32920.4
129.95,0,1.74009708737864,32940
130,0,1.74495145631068,32939.6
130.05,0,1.74980582524272,32920
130.1,0,1.75914285714286,32920
130.15,0,1.76866666666667,32919.8076923077
130.2,0,1.76165048543689,32910.1923076923
130.25,0,1.75194174757281,32920
130.3,0,1.74611650485437,32920
130.35,0,1.74126213592233,32920
130.4,0,1.74355769230769,32920
130.45,0,1.74836538461539,32920
130.5,0,1.74029411764706,32940.4
130.55,0,1.72558823529411,32960
130.6,0,1.72596153846154,32960
130.65,0,1.73557692307692,32970
130.7,0,1.74,32970.3921568627
130.75,0,1.74,32990
130.8,0,1.73519230769231,32990
130.85,0,1.72557692307692,32989.6
130.9,0,1.72,32970
130.95,0,1.72,32969.8
131,0,1.72873786407767,32960
131.05,0,1.75300970873787,32960
131.1,0,1.77,32960
131.15,0,1.77,32970
131.2,0,1.76803921568627,32970
131.25,0,1.75823529411765,32970
131.3,0,1.74923076923077,32990
131.35,0,1.74442307692308,32970
131.4,0,1.74038834951456,32970
131.45,0,1.7452427184466,32970
131.5,0,1.75,32960.1923076923
131.55,0,1.75,32969.8076923077
131.6,0,1.75,32960.2
131.65,0,1.75,32959.6153846154
131.7,0,1.75,32940.3846153846
131.75,0,1.73747572815534,32968.8235294118
131.8,0,1.72291262135922,32989.5918367347
131.85,0,1.71615384615385,32999.8
131.9,0,1.71134615384615,33000
131.95,0,1.71356435643565,33000
132,0,1.71851485148515,33000
132.05,0,1.72673076923077,32990.1960784314
132.1,0,1.73634615384615,32990
132.15,0,1.74295238095238,32970.4081632653
132.2,0,1.74771428571429,32970
132.25,0,1.75,32970
132.3,0,1.75,32970
132.35,0,1.75952380952381,32970
132.4,0,1.77857142857143,32988.8
132.45,0,1.78230769230769,32970.8163265306
132.5,0,1.76307692307692,32986.5517241379
132.55,0,1.75,32990
132.6,0,1.75,32990
132.65,0,1.75237623762376,32970.8
132.7,0,1.76227722772277,32988.8235294118
132.75,0,1.77,32971.2
132.8,0,1.77,32961.1320754717
132.85,0,1.76864077669903,32960
132.9,0,1.75893203883495,32941.1764705882
132.95,0,1.75,32958.431372549
133,0,1.75,32941.2244897959
133.05,0,1.74961904761905,32940
133.1,0,1.73057142857143,32958.7755102041
133.15,0,1.71152380952381,32960
133.2,0,1.71450980392157,32941.9230769231
133.25,0,1.71941176470588,32940
133.3,0,1.73281553398058,32940
133.35,0,1.74737864077669,32958.3673469388
133.4,0,1.75,32960
133.45,0,1.75,32960
133.5,0,1.74644230769231,32969.0384615385
133.55,0,1.74163461538461,32961.3461538461
133.6,0,1.73371428571429,32941.3043478261
133.65,0,1.72419047619047,32940
133.7,0,1.72538461538462,32940
133.75,0,1.735,32940
133.8,0,1.74242424242424,32940
133.85,0,1.74747474747475,32940
133.9,0,1.74761904761905,32940
133.95,0,1.74285714285714,32940
134,0,1.73615384615384,32922.7450980392
134.05,0,1.72653846153846,32920
134.1,0,1.72313725490196,32920
134.15,0,1.73294117647059,32911.0204081633
134.2,0,1.74,32910
134.25,0,1.74,32910
134.3,0,1.74106796116505,32910
134.35,0,1.74592233009709,32910
134.4,0,1.74689320388349,32910
134.45,0,1.72747572815533,32910
134.5,0,1.71192307692308,32892.6923076923
134.55,0,1.73115384615385,32890
134.6,0,1.75067961165049,32881.568627451
134.65,0,1.78466019417477,32880
134.7,0,1.81864077669904,32862.7450980392
134.75,0,1.83371428571429,32860
134.8,0,1.84800000000001,32842.7450980392
134.85,0,1.86264705882353,32831.2244897959
134.9,0,1.87735294117647,32830
134.95,0,1.90759615384617,32812.8571428571
135,16.8627450980364,1.94125,32784.7058823529
135.05,20,1.96067307692308,32780
135.1,20,1.97509615384615,32780
135.15,20,1.98980198019802,32763.0769230769
135.2,20,2.00465346534654,32760
135.25,20,2.03133333333334,32777.2549019608
135.3,20,2.06466666666667,32805.2941176471
135.35,20,2.1009708737864,32810
135.4,20,2.13980582524273,32851.3461538462
135.45,20,2.18076923076925,32909.2
135.5,20,2.22403846153846,32986.9387755102
135.55,20,2.26941747572816,33085.7142857143
135.6,20,2.31796116504853,33181.1320754717
135.65,20,2.35990291262136,33288
135.7,20,2.3890291262136,33418.3333333334
135.75,20,2.42346153846155,33571.7647058824
135.8,20,2.47153846153847,33673.8
135.85,20,2.52249999999999,33818.6274509803
135.9,20,2.58500000000001,33986.1702127659
135.95,20,2.64647058823532,34180.3773584906
136,20,2.70039215686276,34369.0196078431
136.05,20,2.75538461538464,34558.2
136.1,20,2.8226923076923,34790.8510638297
136.15,20,2.89,35023.8461538462
136.2,20,2.94769230769233,35270.0000000001
136.25,20,3.00538461538463,35528
136.3,20,3.03679611650486,35816.7346938776
136.35,20,3.06592233009708,36115.9999999999
136.4,20,3.13745098039216,36398.6538461539
136.45,20,3.2158823529412,36720.0000000001
136.5,20,3.29368932038834,37037.2549019608
136.55,20,3.37135922330097,37380.0000000001
136.6,20,3.44846153846152,37716.6666666667
136.65,20,3.52538461538463,38097.0212765959
136.7,20,3.58269230769232,38450.7692307693
136.75,20,3.63076923076922,38808
136.8,20,3.67884615384616,39200.0000000001
136.85,20,3.72692307692307,39599.9999999999
136.9,20,3.78568627450982,39968
136.95,20,3.85431372549022,40330.1960784314
137,20,3.90864077669903,40738.8235294117
137.05,20,3.94747572815534,41144
137.1,20,3.98235294117646,41581.2244897959
137.15,20,4.01176470588235,41976.4000000001
137.2,20,4.0388785046729,42362.4489795919
137.25,20,4.0622429906542,42683.137254902
137.3,20,4.08815533980583,43062.0000000001
137.35,20,4.12213592233009,43407.4
137.4,20,4.15705882352942,43831.0000000001
137.45,20,4.19627450980394,44297.0588235296
137.5,20,4.23067307692308,44790
137.55,20,4.23548076923077,45252.7450980394
